Date,Total
27/04/2018,404077.85880970507
28/04/2018,400585.0992127101
29/04/2018,429213.9332003989
30/04/2018,421651.15615802025
01/05/2018,436194.969783108
02/05/2018,429829.03610934
03/05/2018,452872.0790105399
04/05/2018,535354.1011387071
05/05/2018,587024.506530056
06/05/2018,612041.0874594781
07/05/2018,606185.9121876055
08/05/2018,545101.1089186457
09/05/2018,554542.1280138022
10/05/2018,553726.766173413
11/05/2018,534215.5154285625
12/05/2018,513757.5025182162
13/05/2018,494662.89332410606
14/05/2018,506290.18434336287
15/05/2018,526043.7638372899
16/05/2018,488485.9182938976
17/05/2018,472706.645892024
18/05/2018,453483.3530967137
19/05/2018,485519.2936526118
20/05/2018,489576.65243371535
21/05/2018,502531.59858260286
22/05/2018,488725.89244557713
23/05/2018,459658.4409608483
24/05/2018,398599.05116721714
25/05/2018,441987.2412852639
26/05/2018,413710.5869347878
27/05/2018,373254.32789021375
28/05/2018,384164.5996736919
29/05/2018,333481.35067272844
30/05/2018,366440.4934840385
31/05/2018,357505.3766863813
01/06/2018,377763.7428616434
02/06/2018,366692.8979218863
03/06/2018,400182.4806968473
04/06/2018,414105.8418214316
05/06/2018,404405.3248719185
06/06/2018,397586.57884300617
07/06/2018,413083.5964231188
08/06/2018,407737.3022557752
09/06/2018,410462.1896413548
10/06/2018,407531.20965280576
11/06/2018,340982.1256591669
12/06/2018,343077.0983184027
13/06/2018,318041.7932918704
14/06/2018,311769.1654377772
15/06/2018,345592.2232730303
16/06/2018,337317.97702447686
17/06/2018,342632.75127011375
18/06/2018,344369.8217110739
19/06/2018,371709.7486428315
20/06/2018,377297.4565848687
21/06/2018,385891.9080326348
22/06/2018,374646.7373273908
23/06/2018,328674.1134116333
24/06/2018,338020.3423471226
25/06/2018,325352.50507807004
26/06/2018,328390.7042710822
27/06/2018,312520.4172936647
28/06/2018,331966.708498163
29/06/2018,339219.62692641065
30/06/2018,337358.62648350256
01/07/2018,345806.8589828236
02/07/2018,352556.03338739375
03/07/2018,375401.8825604002
04/07/2018,355123.1178898175
05/07/2018,372105.6791116425
06/07/2018,388750.77152222727
07/07/2018,357603.0140729729
08/07/2018,402882.69797363895
09/07/2018,381731.6265652132
10/07/2018,388746.6596683685
11/07/2018,334323.46032036986
12/07/2018,338795.5007947081
13/07/2018,329137.8102616123
14/07/2018,335944.56754032406
15/07/2018,327538.4735136886
16/07/2018,352941.8307456716
17/07/2018,368446.4197291695
18/07/2018,387730.3515968413
19/07/2018,357727.3892950863
20/07/2018,354615.5600323265
21/07/2018,337662.71896518866
22/07/2018,343527.26817199914
23/07/2018,353047.0821976666
24/07/2018,325949.3339030474
25/07/2018,357183.8802186346
26/07/2018,351103.55690465827
27/07/2018,341819.1102232076
28/07/2018,340056.7717599282
29/07/2018,342664.98113374755
30/07/2018,341927.58656500146
31/07/2018,337279.3174893116
01/08/2018,322134.8901482267
02/08/2018,337275.6667576372
03/08/2018,337913.1809696106
04/08/2018,371712.7211090308
05/08/2018,356597.14673698705
06/08/2018,358439.00666637335
07/08/2018,367117.1212669052
08/08/2018,367757.6854383253
09/08/2018,22961.87951038035
10/08/2018,20548.732384760417
11/08/2018,20134.03517993865
12/08/2018,337317.40370262665
13/08/2018,340362.4818364668
14/08/2018,342257.8782294952
15/08/2018,341052.2639401736
16/08/2018,359166.5450887033
17/08/2018,369142.6779448409
18/08/2018,367401.1471896458
19/08/2018,365249.2676059092
20/08/2018,363340.3132818624
21/08/2018,358940.57728545164
22/08/2018,316469.65940808866
23/08/2018,242300.67608453683
24/08/2018,2502793.662295612
25/08/2018,372406.5411532939
26/08/2018,1302138.5101259174
27/08/2018,8969865.136818497
28/08/2018,9018718.800009787
29/08/2018,1180226.407824828
30/08/2018,1175880.4389722983
31/08/2018,1164421.6076913923
01/09/2018,1178640.769005294
02/09/2018,1721605.312275337
03/09/2018,1714498.4797378331
04/09/2018,1655376.0301368283
05/09/2018,1541536.4813122523
06/09/2018,1401925.225542755
07/09/2018,1373023.5849905373
08/09/2018,1368294.6940708186
09/09/2018,1305799.305250616
10/09/2018,654995.3949714188
11/09/2018,1013470.3725277884
12/09/2018,1369791.8657378757
13/09/2018,969787.103708356
14/09/2018,967548.8795028668
15/09/2018,609333.9711494674
16/09/2018,1314515.6286030205
17/09/2018,468275.5066759116
18/09/2018,422288.6598634395
19/09/2018,454622.145023977
20/09/2018,449140.1011107639
21/09/2018,458246.4526446736
22/09/2018,610154.6574991726
23/09/2018,1090775.4549518535
24/09/2018,1091668.505825984
25/09/2018,340529.606227078
26/09/2018,421474.3383082712
27/09/2018,487850.7892850102
28/09/2018,2062155.8728776395
29/09/2018,3596029.2797710663
30/09/2018,3917494.818631809
01/10/2018,3784471.065135547
02/10/2018,4022968.448336486
03/10/2018,3739590.375523215
04/10/2018,3317089.59193913
05/10/2018,3288585.813451179
06/10/2018,3555982.2371523064
07/10/2018,3345382.605218226
08/10/2018,2990374.212484295
09/10/2018,3017476.312475154
10/10/2018,3312010.865147464
11/10/2018,3294332.1415881496
12/10/2018,2875060.662198431
13/10/2018,3384946.572764287
14/10/2018,3421112.7795230853
15/10/2018,3373174.421871814
16/10/2018,4833995.718352465
17/10/2018,4074596.475857267
18/10/2018,5723684.282887546
19/10/2018,5445987.681155719
20/10/2018,5700029.747743048
21/10/2018,4772745.974748556
22/10/2018,5842450.934135638
23/10/2018,6079294.391661467
24/10/2018,5961246.439172281
25/10/2018,6265812.026384318
26/10/2018,6565393.343204755
27/10/2018,4814508.581327772
28/10/2018,6483197.214019351
