Date,USDT,Total
2021-03-31,40726398262.0,62708872525.0
2021-04-01,40828662356.0,62653313476.0
2021-04-02,40865229034.0,62753455523.0
2021-04-03,41813133068.0,66326744562.0
2021-04-04,42475840765.0,67006245269.0
2021-04-05,42516185636.0,67779481392.0
2021-04-06,42515783762.0,67580640921.0
2021-04-07,43138125471.0,68153585044.0
2021-04-08,43154970746.0,67657015716.0
2021-04-09,43907339890.0,68943267847.0
2021-04-10,43862141614.0,69291430648.0
2021-04-11,44526368624.0,70196029877.0
2021-04-12,44487838877.0,70211493670.0
2021-04-13,44632650834.0,70064006322.0
2021-04-14,45573928455.0,71370203774.0
2021-04-15,45913564175.0,72258629549.0
2021-04-16,46600660619.0,73425389222.0
2021-04-17,46916060116.0,75021699234.0
2021-04-18,48045154807.0,76583300125.0
2021-04-19,48468535908.0,78226600226.0
2021-04-20,48238258549.0,78160732453.0
2021-04-21,48839998447.0,79693954236.0
2021-04-22,49035875172.0,80462355124.0
2021-04-23,49709792710.0,81339046911.0
2021-04-24,49565105986.0,81110436148.0
2021-04-25,49429163167.0,81093705439.0
2021-04-26,50495015134.0,82828013867.0
2021-04-27,50207677416.0,82873590457.0
2021-04-28,50130509261.0,83226283669.0
2021-04-29,51191042585.0,84200753160.0
2021-04-30,51288699069.0,84712997365.0
2021-05-01,51250703448.0,85080463297.0
2021-05-02,51707716414.0,85786204876.0
2021-05-03,52025629416.0,86356657657.0
2021-05-04,52400207094.0,86884720513.0
2021-05-05,52464223020.0,87080358706.0
2021-05-06,52943892216.0,88459780914.0
2021-05-07,53755133296.0,89657087532.0
2021-05-08,55069674379.0,91148575376.0
2021-05-09,55408048002.0,91936389217.0
2021-05-10,55851545524.0,92646756699.0
2021-05-11,56507276804.0,93468383675.0
2021-05-12,56782319238.0,94167349990.0
2021-05-13,57835482256.0,95015782971.0
2021-05-14,57528528354.0,94984696040.0
2021-05-15,57947909871.0,95733046483.0
2021-05-16,58093086780.0,96077557705.0
2021-05-17,58576968140.0,97012261229.0
2021-05-18,58738180827.0,97402307995.0
2021-05-19,58110737322.0,96693386429.0
2021-05-20,57844223554.0,95171457055.0
2021-05-21,58735496391.0,97274138956.0
2021-05-22,58564538631.0,98713855473.0
2021-05-23,59938923543.0,100502953203.0
2021-05-24,59779237244.0,100667606221.0
2021-05-25,59974413991.0,101415941501.0
2021-05-26,60377436586.0,102068690116.0
2021-05-27,60804942594.0,103815885298.0
2021-05-28,61012074048.0,104110413961.0
2021-05-29,61385272171.0,105241532483.0
2021-05-30,61365485214.0,104705432493.0
2021-05-31,61679096604.0,105117250165.0
2021-06-01,61662124698.0,105603527629.0
2021-06-02,62255321142.0,106436585291.0
2021-06-03,61872692492.0,106179056305.0
2021-06-04,61854837885.0,106910590048.0
2021-06-05,62200460093.0,107436393221.0
2021-06-06,62382497245.0,107806644948.0
2021-06-07,62750580532.0,108586003564.0
2021-06-08,62462754560.0,107995723624.0
2021-06-09,62765369075.0,108791649440.0
2021-06-10,62776883637.0,109314598921.0
2021-06-11,63268937484.0,108978768000.0
2021-06-12,62856172114.0,108696194048.0
2021-06-13,63310778731.0,109318063091.0
2021-06-14,62701550948.0,109102421504.0
2021-06-15,62914263463.0,109353117969.0
2021-06-16,63136961739.0,109630736808.0
2021-06-17,62586960828.0,108448383047.0
2021-06-18,63099667999.0,109185075116.0
2021-06-19,62836933197.0,109307399461.0
2021-06-20,63288058373.0,109731602959.0
2021-06-21,62908463833.0,109949117820.0
2021-06-22,62259101772.0,109233074095.0
2021-06-23,63243411880.0,110518925638.0
2021-06-24,63237043450.0,110963608149.0
2021-06-25,63103671351.0,110881981031.0
2021-06-26,62814853079.0,111006648900.0
2021-06-27,63831367436.0,112150456558.0
2021-06-28,63352101913.0,111840836469.0
2021-06-29,63200162143.0,110998494039.0
2021-06-30,62688846708.0,110338704385.0
2021-07-01,63058339992.0,111111056995.0
2021-07-02,62867304022.0,111364878551.0
2021-07-03,63097998785.0,112143325473.0
2021-07-04,62976210905.0,112114086808.0
2021-07-05,61950092497.0,111077150666.0
2021-07-06,63035970991.0,112230087381.0
2021-07-07,62831570441.0,112413670952.0
2021-07-08,62489939152.0,112077076832.0
2021-07-09,62818585928.0,112896649563.0
2021-07-10,62806447336.0,112704094007.0
2021-07-11,62896499699.0,112922284657.0
2021-07-12,62507311613.0,112517680598.0
2021-07-13,62694192572.0,112806700639.0
2021-07-14,62883799620.0,112716390236.0
2021-07-15,62473711903.0,113000007673.0
2021-07-16,62590251633.0,113258082747.0
2021-07-17,62096593805.0,112011250228.0
2021-07-18,62387158566.0,112832841076.0
2021-07-19,62708628940.0,113588556976.0
2021-07-20,62425290225.0,112939060376.0
2021-07-21,62300830480.0,112980448472.0
2021-07-22,62429158871.0,113590328842.0
2021-07-23,62227283240.0,113332337007.0
2021-07-24,62239861018.0,113638803843.0
2021-07-25,62293560257.0,113847375496.0
2021-07-26,62214309621.0,114329347764.0
2021-07-27,62588951686.0,113893759895.0
2021-07-28,62503538466.0,114681696449.0
2021-07-29,61676379981.0,113919686972.0
2021-07-30,62325451426.0,114453480546.0
2021-07-31,62250404980.0,115161554161.0
2021-08-01,61991958446.0,114243228972.0
2021-08-02,62483056034.0,114449228905.0
2021-08-03,62301914372.0,114651825630.0
2021-08-04,62836162356.0,115250474211.0
2021-08-05,61623835820.0,113954929917.0
2021-08-06,62255097346.0,114688922218.0
2021-08-07,62393110690.0,115132359060.0
2021-08-08,62372231255.0,115428668031.0
2021-08-09,62625097626.0,115512088439.0
2021-08-10,62849532383.0,116126327978.0
2021-08-11,62640086076.0,116034324826.0
2021-08-12,63038626861.0,116315296970.0
2021-08-13,63340195620.0,116715572732.0
2021-08-14,63143592957.0,116418175152.0
2021-08-15,63513901496.0,116826252754.0
2021-08-16,63759596158.0,116991093216.0
2021-08-17,63937261841.0,116971827700.0
2021-08-18,64489591362.0,117383582649.0
2021-08-19,64546808592.0,117811180354.0
2021-08-20,65040976809.0,118861997120.0
2021-08-21,64826373396.0,117837129720.0
2021-08-22,65062359702.0,118058443043.0
2021-08-23,65690167126.0,118965832643.0
2021-08-24,65170459070.0,118369511878.0
2021-08-25,65575429059.0,118684153972.0
2021-08-26,65866552767.0,119083587220.0
2021-08-27,65427749144.0,118780455205.0
2021-08-28,66024263475.0,119579969520.0
2021-08-29,65955942015.0,119610198205.0
2021-08-30,65950472602.0,119528719036.0
2021-08-31,65855816916.0,119535728664.0
2021-09-01,66266354140.0,120274255110.0
2021-09-02,66123544218.0,120478758326.0
2021-09-03,66062624291.0,120537220089.0
2021-09-04,66730035258.0,121391967663.0
2021-09-05,66778170178.0,121647172689.0
2021-09-06,67228499319.0,122145556410.0
2021-09-07,67903500886.0,123087608607.0
2021-09-08,68184094814.0,123704191598.0
2021-09-09,69684185964.0,125778348235.0
2021-09-10,69703676974.0,126461327926.0
2021-09-11,69081096174.0,125431792132.0
2021-09-12,69425108014.0,126146151493.0
2021-09-13,70800211304.0,127613599518.0
2021-09-14,69652244315.0,126699187359.0
2021-09-15,69753426471.0,126953663745.0
2021-09-16,69479594351.0,126661138174.0
2021-09-17,69643498537.0,126987317657.0
2021-09-18,69941343681.0,127594982853.0
2021-09-19,69663266574.0,127401365789.0
2021-09-20,69848668132.0,127840959212.0
2021-09-21,69538476426.0,126368315363.0
2021-09-22,68543490649.0,125816260701.0
2021-09-23,69594569833.0,127742284838.0
2021-09-24,69615920997.0,128578996447.0
2021-09-25,69912382384.0,129578811490.0
2021-09-26,69890392747.0,130051109429.0
2021-09-27,69933851143.0,130474516670.0
2021-09-28,68807886691.0,128460123987.0
2021-09-29,69121079443.0,128843668304.0
2021-09-30,69822155273.0,130241785608.0
2021-10-01,69656553878.0,129881216478.0
2021-10-02,69225845065.0,129674230391.0
2021-10-03,69274392179.0,129674281658.0
2021-10-04,69264460391.0,130205261463.0
2021-10-05,69282221336.0,130191937522.0
2021-10-06,69199180756.0,130329942555.0
2021-10-07,68955045729.0,130443714100.0
2021-10-08,69290558719.0,130887363009.0
2021-10-09,69404405336.0,131422360107.0
2021-10-10,69400603293.0,131701794697.0
2021-10-11,69370965697.0,131803344226.0
2021-10-12,69993843399.0,133032585939.0
2021-10-13,69825068087.0,132338049762.0
2021-10-14,69998620735.0,132548135542.0
2021-10-15,69703575350.0,132558752031.0
2021-10-16,69649532671.0,132855291968.0
2021-10-17,70342594550.0,133259591304.0
2021-10-18,70116207186.0,133062973498.0
2021-10-19,70101000413.0,133035917154.0
2021-10-20,70207100409.0,132684566645.0
2021-10-21,70101972340.0,133455863898.0
2021-10-22,70308266231.0,133527559026.0
2021-10-23,70985309518.0,134463905903.0
2021-10-24,71156413504.0,134988709838.0
2021-10-25,71016596949.0,134642999160.0
2021-10-26,71106218837.0,134722820125.0
2021-10-27,70930271896.0,134347504495.0
2021-10-28,71031350874.0,134780430051.0
2021-10-29,71240827429.0,135613650463.0
2021-10-30,71453740694.0,136349380973.0
2021-10-31,71592501390.0,137146364982.0
2021-11-01,71151106006.0,136598580183.0
2021-11-02,71343989792.0,137180930893.0
2021-11-03,71675626811.0,138492183134.0
2021-11-04,72138348989.0,139176756244.0
2021-11-05,72667846010.0,139920440155.0
2021-11-06,73373158689.0,141093744237.0
2021-11-07,73245459836.0,140971129423.0
2021-11-08,74146540725.0,142141108824.0
2021-11-09,74814400683.0,143019428175.0
2021-11-10,74866137956.0,143703028759.0
2021-11-11,75453316594.0,144154269988.0
2021-11-12,75005773739.0,143820179882.0
2021-11-13,75396936892.0,145031398900.0
2021-11-14,75356712423.0,145509931166.0
2021-11-15,75694851198.0,146807440931.0
2021-11-16,74983334420.0,146063171738.0
2021-11-17,74756874546.0,146556350189.0
2021-11-18,75510814038.0,148346783223.0
2021-11-19,75026398216.0,147489154943.0
2021-11-20,74833172845.0,148419268743.0
2021-11-21,74744139921.0,149092293966.0
2021-11-22,74514891547.0,150309496652.0
2021-11-23,73944928320.0,149438130505.0
2021-11-24,73601617088.0,149413851052.0
2021-11-25,73521803149.0,150088759971.0
2021-11-26,73213226699.0,149772185286.0
2021-11-27,73765755990.0,150860133141.0
2021-11-28,74027458396.0,151588958686.0
2021-11-29,73926913074.0,152037801049.0
2021-11-30,74226709927.0,152665037219.0
2021-12-01,74140687485.0,153327739794.0
2021-12-02,75061046825.0,154996992116.0
2021-12-03,74706842540.0,154719354709.0
2021-12-04,75207273422.0,155602099117.0
2021-12-05,75268359324.0,156236276350.0
2021-12-06,76710772023.0,159071637611.0
2021-12-07,76477534132.0,158537787172.0
2021-12-08,77503393274.0,160343635059.0
2021-12-09,77327940869.0,160336639777.0
2021-12-10,77007636370.0,160383763425.0
2021-12-11,76589371223.0,159969573244.0
2021-12-12,77203492009.0,161238711243.0
2021-12-13,77315240613.0,161409297254.0
2021-12-14,77072384175.0,161046519231.0
2021-12-15,77621532543.0,162387797208.0
2021-12-16,77693695882.0,162438653131.0
2021-12-17,76990393274.0,161809452848.0
2021-12-18,77180613783.0,162510277269.0
2021-12-19,77302166682.0,163227565206.0
2021-12-20,77106216976.0,162715329871.0
2021-12-21,78073078092.0,165158285656.0
2021-12-22,77724617680.0,165096421805.0
2021-12-23,77558355094.0,165316878205.0
2021-12-24,77696182521.0,165841423924.0
2021-12-25,78110870912.0,166582525471.0
2021-12-26,78173529768.0,166735337923.0
2021-12-27,78284615079.0,166929277226.0
2021-12-28,78080158291.0,166414512680.0
2021-12-29,78221493637.0,166655577242.0
2021-12-30,78249704094.0,166473733641.0
2021-12-31,78546396905.0,167145437136.0
2022-01-01,78285795057.0,166186916350.0
2022-01-02,79221440895.0,168021568194.0
2022-01-03,78519284091.0,167121773969.0
2022-01-04,78463706371.0,167381171258.0
2022-01-05,78399020670.0,167386481783.0
2022-01-06,79010451803.0,168321758893.0
2022-01-07,78731693917.0,168148924288.0
2022-01-08,78662917120.0,167960163508.0
2022-01-09,78115986493.0,167366619503.0
2022-01-10,78013315604.0,167242147669.0
